TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AMBP3;0,21;;-1,37;0,32;0,02;18,22;17,36;-3,54;0,28;5,34;5,06;5,81;0,05;0,08;-0,04;2,72;-23,47;-1,52;8,91;0,06;0,87;0,43;67,64;;1.724.954,48;0,65;-0,15;0,07;350.787.924,90
AMER3;5,16;;-1,27;0,22;0,06;28,74;-2,45;-5,85;-3,03;-6,94;-3,91;0,28;0,07;0,36;-0,12;1,63;-17,16;-5,03;-7,44;0,29;0,71;0,86;16,22;;5.148.670,29;23,66;-4,06;0,01;1.033.264.194,84
AMOB3;12,03;;;;;3,60;-46,82;-57,58;;;-0,01;;;;;0,19;-2.595,29;-6.030,26;2.660,36;-2,32;3,32;104,73;;;582.926,76;;;;0,00
ANIM3;4,11;1,30;13,41;0,59;0,16;62,96;24,90;3,08;1,66;5,64;3,98;1,41;0,41;1,17;-0,22;2,22;4,37;1,22;11,70;0,28;0,72;0,40;23,12;;32.920.775,29;7,02;0,31;0,30;1.659.900.788,55
APER3;46,75;;-32,82;2,02;1,01;100,00;6,60;-8,16;40,57;43,31;2,74;0,14;2,68;115,28;-1,38;1,03;-6,15;-3,09;2,91;0,50;0,50;0,38;29,52;;51.166,00;23,16;-1,42;0,16;953.269.946,75
APTI3;197,64;;0,12;0,01;0,01;100,11;45,32;81,09;0,22;0,80;-1,42;-0,09;0,10;0,02;-0,01;10,57;10,94;5,92;3,06;0,54;0,46;0,07;-2,98;;;14.822,32;1.621,94;0,00;37.417.457,40
APTI4;2.930,92;;1,81;0,20;0,11;100,11;45,32;81,09;3,23;0,80;-1,42;-0,09;1,47;0,25;-0,20;10,57;10,94;5,92;3,06;0,54;0,46;0,07;-2,98;;0,00;14.822,32;1.621,94;-0,04;37.417.457,40
ARML3;5,16;11,97;33,00;1,41;0,39;35,48;22,22;2,91;4,33;8,86;4,53;1,47;0,96;2,36;-0,55;2,21;4,26;1,17;10,45;0,27;0,72;0,40;95,79;42,68;4.335.519,90;3,67;0,16;-0,45;1.787.909.540,52
ARND3;0,73;;4,08;0,39;0,07;85,99;-58,63;42,53;-2,96;-0,05;2,91;-0,38;1,74;0,43;-0,71;1,22;9,59;1,70;-13,21;0,18;0,81;0,04;22,22;;470,24;1,87;0,18;0,02;102.924.018,38
ASAI3;8,02;1,48;21,84;1,95;0,23;16,87;4,69;0,64;3,00;5,88;2,88;1,88;0,14;11,04;-0,36;1,06;8,95;1,04;15,38;0,12;0,88;1,62;16,49;-18,69;93.266.066,43;4,10;0,37;-0,62;10.855.320.721,24
AUAU3;2,99;;;;;;;;;;;;;;;;;;;;;;;;10.954.794,57;;;;0,00
AURE3;11,83;0,48;-18,71;0,90;0,26;16,32;17,58;-5,04;5,37;14,13;8,77;1,47;0,94;6,04;-0,31;1,32;-4,82;-1,36;5,17;0,28;0,72;0,27;41,69;;36.549.123,71;13,11;-0,63;0,05;12.425.971.432,42
AVLL3;0,66;;-1,08;-0,68;0,10;35,80;19,30;-18,25;1,02;5,33;4,31;;0,20;-2,43;-0,16;0,91;-62,83;-8,86;21,49;-0,14;1,11;0,49;32,82;;7.283,24;-0,97;-0,61;0,04;128.917.840,26
AXIA3;58,27;7,80;25,90;1,43;0,61;42,92;9,56;15,89;43,05;56,07;11,84;0,39;4,12;8,05;-0,75;1,68;5,53;2,34;-11,98;0,42;0,58;0,15;7,26;0,68;486.612.769,57;40,65;2,25;-0,70;174.538.174.602,34
AXIA5;64,63;5,17;28,73;1,59;0,67;42,92;9,56;15,89;47,74;56,07;11,84;0,39;4,56;8,92;-0,83;1,68;5,53;2,34;-11,98;0,42;0,58;0,15;7,26;0,68;3.231,50;40,65;2,25;-0,78;174.538.174.602,34
AXIA6;63,52;6,49;28,24;1,56;0,66;42,92;9,56;15,89;46,92;56,07;11,84;0,39;4,49;8,77;-0,81;1,68;5,53;2,34;-11,98;0,42;0,58;0,15;7,26;0,68;71.389.690,90;40,65;2,25;-0,77;174.538.174.602,34
AXIA7;56,50;;25,12;1,39;0,59;42,92;9,56;15,89;41,74;56,07;11,84;0,39;3,99;7,80;-0,72;1,68;5,53;2,34;-11,98;0,42;0,58;0,15;7,26;0,68;100.512.865,57;40,65;2,25;-0,68;174.538.174.602,34
AZEV3;0,21;;-0,17;0,78;0,12;8,27;-181,96;-269,37;-0,26;-0,34;-0,12;0,36;0,46;-1,07;-0,15;0,65;-453,29;-69,02;-250,88;0,15;0,85;0,26;144,07;;333.534,00;0,27;-1,22;0,00;108.847.602,32
AZEV4;0,17;;-0,14;0,63;0,10;8,27;-181,96;-269,37;-0,21;-0,34;-0,12;0,36;0,38;-0,86;-0,12;0,65;-453,29;-69,02;-250,88;0,15;0,85;0,26;144,07;;1.237.092,86;0,27;-1,22;0,00;108.847.602,32
AZTE3;0,25;;;;;;;;;;;;;;;;;;;;;;;;953.802,43;;;;0,00
AZUL53;170,00;;593.229,96;-339.487,47;336.790,47;28,49;14,99;72,55;2.871.866,63;16.341,21;10,99;;430.368,23;-476.419,36;-457.718,77;0,27;-57,23;56,77;32,52;-0,99;1,99;0,78;11,28;;3.261.164,33;0,00;0,00;-26,42;52.906.490.052.850,63
AZUL54;72,50;;252.995,13;-144.781,42;143.631,23;28,49;14,99;72,55;1.224.766,65;16.341,21;10,99;;183.539,39;-203.178,85;-195.203,59;0,27;-57,23;56,77;32,52;-0,99;1,99;0,78;11,28;;20.945.788,00;0,00;0,00;-11,27;52.906.490.052.850,63
AZZA3;27,58;8,98;6,25;0,71;0,37;54,96;9,63;7,71;5,00;6,89;1,88;0,27;0,48;1,80;-0,67;1,84;11,42;5,90;3,75;0,52;0,48;0,77;49,34;79,73;72.051.978,86;38,63;4,41;0,04;5.694.989.042,54
B3SA3;17,26;3,44;18,99;4,99;1,80;90,53;59,69;41,23;13,12;13,03;-0,09;-0,03;7,83;10,34;-2,83;1,91;26,26;9,46;6,12;0,36;0,64;0,23;3,58;2,01;529.590.653,33;3,46;0,91;96,18;87.102.590.000,00
BAHI3;4,51;;-2,17;1,78;0,27;58,14;-4,01;-15,93;-8,63;-11,01;-2,38;0,49;0,35;-1,16;-0,30;0,33;-82,07;-12,19;-9,74;0,15;0,78;0,77;46,22;;16.499,00;2,53;-2,07;0,00;119.021.524,82
BALM3;26,00;17,84;10,30;1,39;0,85;61,58;20,78;11,28;5,59;3,37;-1,56;-0,39;1,16;1,67;-3,34;3,12;13,52;8,23;19,28;0,61;0,39;0,73;5,42;31,66;0,00;18,67;2,52;0,42;224.763.000,00
BALM4;19,87;23,35;7,87;1,06;0,65;61,58;20,78;11,28;4,27;3,37;-1,56;-0,39;0,89;1,28;-2,55;3,12;13,52;8,23;19,28;0,61;0,39;0,73;5,42;31,66;17.529,65;18,67;2,52;0,32;224.763.000,00
BAUH3;0,00;;0,00;0,00;0,00;24,64;7,97;10,25;0,00;;-3,26;-0,50;0,00;0,00;0,00;1,80;19,69;13,16;13,43;0,67;0,33;1,28;8,24;3,59;;27,19;5,35;0,00;
BAUH4;92,99;1,33;17,37;3,42;2,29;24,64;7,97;10,25;22,33;;-3,26;-0,50;1,78;9,00;-5,32;1,80;19,69;13,16;13,43;0,67;0,33;1,28;8,24;3,59;37.146,50;27,19;5,35;1,47;
BAZA3;83,36;9,61;4,35;0,64;0,08;20,35;18,56;17,66;4,14;4,14;;;0,77;104,58;-0,08;;14,74;1,78;;0,12;0,88;0,10;26,63;31,27;380.880,57;129,92;19,15;-0,25;4.673.021.138,40
BBAS3;23,96;3,48;8,18;0,71;0,06;31,62;1,76;5,25;24,46;24,46;;;0,43;2,49;-0,06;13,33;8,67;0,68;;0,08;0,92;0,13;26,49;4,77;608.906.013,76;33,78;2,93;-0,19;137.310.783.598,40
BBDC3;16,44;7,99;7,28;0,97;0,07;28,25;7,78;8,85;8,28;8,93;;;0,64;0,99;-0,08;10,59;13,37;1,03;;0,08;0,92;0,12;22,38;8,33;96.189.434,24;16,89;2,26;0,20;187.670.319.332,64
BBDC4;19,00;7,62;8,41;1,12;0,09;28,25;7,78;8,85;9,57;8,93;;;0,74;1,15;-0,09;10,59;13,37;1,03;;0,08;0,92;0,12;22,38;8,33;626.604.501,71;16,89;2,26;0,23;187.670.319.332,64
BBML3;3.936,42;;-596,71;-327,52;146,41;1,68;-7,70;-19,73;-1.528,39;-1.532,94;-4,56;;117,74;-144,35;-204,86;0,22;-54,89;-24,54;-1.205,95;-0,45;1,45;1,24;18,96;;;-12,02;-6,60;-9,99;160.451.699.191,56
BBSE3;34,65;13,13;7,69;6,67;3,00;;;;7,02;7,02;;;;27,98;-5,92;1,28;86,84;39,04;;0,45;0,55;0,00;;18,55;174.344.391,00;5,19;4,51;2,13;69.300.000.000,00
BDLL3;7,01;;0,74;-0,05;0,03;17,16;19,16;25,56;0,99;16,29;15,39;;0,19;-0,07;-0,05;0,55;-6,83;3,46;23,30;-0,51;1,51;0,14;-2,75;;1.987,00;-137,84;9,42;-0,01;10.233.120,08
BDLL4;6,02;;0,64;-0,04;0,02;17,16;19,16;25,56;0,85;16,29;15,39;;0,16;-0,06;-0,04;0,55;-6,83;3,46;23,30;-0,51;1,51;0,14;-2,75;;478,75;-137,84;9,42;-0,01;10.233.120,08
BEEF3;3,96;4,16;-4,86;2,09;0,09;17,94;7,08;-1,59;1,09;4,60;3,51;6,74;0,08;0,55;-0,23;1,34;-43,05;-1,78;12,22;0,04;0,96;1,12;23,09;;75.711.872,57;1,89;-0,81;0,00;3.962.126.092,32
BEES3;8,67;7,94;8,86;1,24;0,08;28,67;7,41;6,23;7,45;7,44;;;0,55;0,54;-0,09;;14,03;0,86;;0,06;0,94;0,14;28,74;8,93;137.282,95;6,97;0,98;-0,43;3.011.926.970,36
BEES4;8,66;8,17;8,85;1,24;0,08;28,67;7,41;6,23;7,44;7,44;;;0,55;0,54;-0,09;;14,03;0,86;;0,06;0,94;0,14;28,74;8,93;46.665,62;6,97;0,98;-0,43;3.011.926.970,36
BFRE11;0,00;;0,00;0,00;0,00;100,00;195,96;118,16;0,00;;;;0,00;0,00;0,00;;6,82;5,98;;0,88;0,10;0,05;;6,26;;309.815,90;21.126,92;0,00;
BFRE12;0,00;;0,00;0,00;0,00;100,00;195,96;118,16;0,00;;;;0,00;0,00;0,00;;6,82;5,98;;0,88;0,10;0,05;;6,26;;309.815,90;21.126,92;0,00;
